,start_station_name,end_station_name,Number of Trips
21957,Greenview Ave & Jarvis Ave,Warren Park East,2
21960,Greenview Ave & Jarvis Ave,Western Ave & Lunt Ave,2
51791,Wilton Ave & Diversey Pkwy,Michigan Ave & Washington St,2
43733,Southport Ave & Roscoe St,Humboldt Blvd & Armitage Ave,2
21967,Greenwood Ave & 47th St,Dorchester Ave & 49th St,2
21969,Greenwood Ave & 47th St,Ellis Ave & 55th St,2
43731,Southport Ave & Roscoe St,Honore St & Division St,2
21973,Greenwood Ave & 47th St,Kimbark Ave & 53rd St,2
21873,Greenview Ave & Fullerton Ave,Oakley Ave & Irving Park Rd,2
21977,Greenwood Ave & 47th St,Lake Park Ave & 53rd St,2
2188,Ashland Ave & Wellington Ave,Larrabee St & Armitage Ave,2
51792,Wilton Ave & Diversey Pkwy,Mies van der Rohe Way & Chestnut St,2
43724,Southport Ave & Roscoe St,Greenwood Ave & 47th St,2
21983,Greenwood Ave & 47th St,Morgan St & Lake St*,2
21984,Greenwood Ave & 47th St,Museum of Science and Industry,2
21985,Greenwood Ave & 47th St,New St & Illinois St,2
21990,Greenwood Ave & 47th St,University Ave & 57th St,2
43719,Southport Ave & Roscoe St,Field Blvd & South Water St,2
21997,Greenwood Ave & 79th St,Greenwood Ave & 79th St,2
21945,Greenview Ave & Jarvis Ave,Montrose Harbor,2
43742,Southport Ave & Roscoe St,Leavitt St & Armitage Ave,2
43744,Southport Ave & Roscoe St,Leavitt St & Lawrence Ave,2
21939,Greenview Ave & Jarvis Ave,Glenwood Ave & Touhy Ave,2
2203,Ashland Ave & Wellington Ave,Montrose Harbor,2
21879,Greenview Ave & Fullerton Ave,Ravenswood Ave & Irving Park Rd,2
43759,Southport Ave & Roscoe St,Michigan Ave & Oak St,2
21884,Greenview Ave & Fullerton Ave,Seeley Ave & Roscoe St,2
21893,Greenview Ave & Fullerton Ave,Southport Ave & Belmont Ave,2
43757,Southport Ave & Roscoe St,McClurg Ct & Ohio St,2
21900,Greenview Ave & Fullerton Ave,Stockton Dr & Wrightwood Ave,2
43753,Southport Ave & Roscoe St,Lincoln Ave & Sunnyside Ave,2
21905,Greenview Ave & Fullerton Ave,W Oakdale Ave & N Broadway,2
21911,Greenview Ave & Fullerton Ave,Wells St & Walton St,2
21912,Greenview Ave & Fullerton Ave,Western Ave & Winnebago Ave,2
21916,Greenview Ave & Fullerton Ave,Wolcott Ave & Polk St,2
21918,Greenview Ave & Fullerton Ave,Wood St & Milwaukee Ave,2
51788,Wilton Ave & Diversey Pkwy,McClurg Ct & Ohio St,2
21922,Greenview Ave & Jarvis Ave,Broadway & Thorndale Ave,2
43747,Southport Ave & Roscoe St,Lincoln Ave & Belle Plaine Ave,2
21929,Greenview Ave & Jarvis Ave,Clark St & Columbia Ave,2
21930,Greenview Ave & Jarvis Ave,Clark St & Elmdale Ave,2
2194,Ashland Ave & Wellington Ave,Lincoln Ave & Belmont Ave,2
21934,Greenview Ave & Jarvis Ave,Clark St & Touhy Ave,2
43745,Southport Ave & Roscoe St,Leavitt St & North Ave,2
2238,Ashland Ave & Wrightwood Ave,Ashland Ave & Grace St,2
43839,Southport Ave & Waveland Ave,Broadway & Berwyn Ave,2
2275,Ashland Ave & Wrightwood Ave,DuSable Lake Shore Dr & Diversey Pkwy,2
21476,Green St & Randolph St,Wabash Ave & Wacker Pl,2
43922,Southport Ave & Waveland Ave,Leavitt St & North Ave,2
43921,Southport Ave & Waveland Ave,Leavitt St & Lawrence Ave,2
21459,Green St & Randolph St,Spaulding Ave & Armitage Ave,2
43918,Southport Ave & Waveland Ave,Leavitt St & Belmont Ave,2
21462,Green St & Randolph St,State St & Chicago Ave,2
21463,Green St & Randolph St,State St & Harrison St,2
21464,Green St & Randolph St,State St & Pearson St,2
21467,Green St & Randolph St,Streeter Dr & Grand Ave,2
21471,Green St & Randolph St,Wabash Ave & 9th St,2
21473,Green St & Randolph St,Wabash Ave & Cermak Rd,2
21477,Green St & Randolph St,Wacker Dr & Washington St,2
