,start_station_name,end_station_name,Number of Trips
46593,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,1546
17457,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,995
32654,Michigan Ave & Oak St,Michigan Ave & Oak St,731
17578,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,635
33632,Millennium Park,Millennium Park,504
34428,Montrose Harbor,Montrose Harbor,483
46893,Theater on the Lake,Theater on the Lake,395
46520,Streeter Dr & Grand Ave,Millennium Park,376
18121,Dusable Harbor,Dusable Harbor,370
46442,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Monroe St,356
17692,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,345
41119,Shedd Aquarium,Shedd Aquarium,333
46515,Streeter Dr & Grand Ave,Michigan Ave & Oak St,330
41134,Shedd Aquarium,Streeter Dr & Grand Ave,318
24234,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,318
4428,Buckingham Fountain,Buckingham Fountain,317
33688,Millennium Park,Streeter Dr & Grand Ave,306
19986,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,306
671,Adler Planetarium,Adler Planetarium,287
18218,Dusable Harbor,Streeter Dr & Grand Ave,261
46443,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & North Blvd,258
32724,Michigan Ave & Oak St,Streeter Dr & Grand Ave,246
31260,McClurg Ct & Ohio St,McClurg Ct & Ohio St,243
31804,Michigan Ave & 8th St,Michigan Ave & 8th St,240
46594,Streeter Dr & Grand Ave,Theater on the Lake,237
17839,DuSable Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,232
17556,DuSable Lake Shore Dr & Monroe St,Shedd Aquarium,224
17460,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,223
41037,Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,215
46558,Streeter Dr & Grand Ave,Shedd Aquarium,199
33057,Michigan Ave & Washington St,Michigan Ave & Washington St,194
43055,Shore Dr & 55th St,Shore Dr & 55th St,191
17926,DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,190
46892,Theater on the Lake,Streeter Dr & Grand Ave,189
17080,DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,182
26780,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,181
35662,New St & Illinois St,New St & Illinois St,175
32258,Michigan Ave & Lake St,Michigan Ave & Lake St,169
17260,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,168
41101,Shedd Aquarium,Millennium Park,163
26890,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,163
48113,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,155
8354,Clark St & Armitage Ave,Clark St & Armitage Ave,155
33556,Millennium Park,DuSable Lake Shore Dr & Monroe St,153
7007,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,153
18118,Dusable Harbor,DuSable Lake Shore Dr & Monroe St,152
30797,Marine Dr & Ainslie St,Marine Dr & Ainslie St,151
41039,Shedd Aquarium,Dusable Harbor,149
46835,Theater on the Lake,Michigan Ave & Oak St,145
47662,Wabash Ave & 9th St,Wabash Ave & 9th St,144
18709,Ellis Ave & 60th St,University Ave & 57th St,144
30052,Lincoln Park Conservatory,Lincoln Park Conservatory,140
42927,Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),138
4545,Buckingham Fountain,Streeter Dr & Grand Ave,136
10029,Clark St & Lincoln Ave,Clark St & Lincoln Ave,131
26525,Lake Park Ave & 35th St,Lake Park Ave & 35th St,130
17527,DuSable Lake Shore Dr & Monroe St,Millennium Park,129
806,Adler Planetarium,Streeter Dr & Grand Ave,128
18692,Ellis Ave & 60th St,Ellis Ave & 55th St,128
46377,Streeter Dr & Grand Ave,Buckingham Fountain,128
32084,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,127
42918,Sheridan Rd & Noyes St (NU),Chicago Ave & Sheridan Rd,126
7560,Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),126
32577,Michigan Ave & Oak St,DuSable Lake Shore Dr & North Blvd,125
46602,Streeter Dr & Grand Ave,Wabash Ave & Grand Ave,123
17458,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & North Blvd,122
17390,DuSable Lake Shore Dr & Monroe St,Adler Planetarium,122
31317,McClurg Ct & Ohio St,Streeter Dr & Grand Ave,121
21569,Green St & Randolph St*,Green St & Randolph St*,120
47178,University Ave & 57th St,Ellis Ave & 60th St,120
17522,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Oak St,118
33665,Millennium Park,Shedd Aquarium,118
25248,Kimbark Ave & 53rd St,University Ave & 57th St,115
18610,Ellis Ave & 55th St,Ellis Ave & 60th St,114
37713,Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,114
46101,Stetson Ave & South Water St,Stetson Ave & South Water St,112
48308,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,112
715,Adler Planetarium,DuSable Lake Shore Dr & Monroe St,112
17691,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,110
19153,Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave,108
46449,Streeter Dr & Grand Ave,Fairbanks Ct & Grand Ave,107
19619,Field Blvd & South Water St,Field Blvd & South Water St,106
46445,Streeter Dr & Grand Ave,Dusable Harbor,105
31534,Michigan Ave & 14th St,Michigan Ave & 14th St,104
32725,Michigan Ave & Oak St,Theater on the Lake,104
47188,University Ave & 57th St,Kimbark Ave & 53rd St,101
15896,Dearborn St & Erie St,Dearborn St & Erie St,101
46475,Streeter Dr & Grand Ave,Indiana Ave & Roosevelt Rd,101
46506,Streeter Dr & Grand Ave,McClurg Ct & Ohio St,99
14766,Damen Ave & Pierce Ave,Damen Ave & Pierce Ave,98
31813,Michigan Ave & 8th St,Millennium Park,97
49171,Wells St & Concord Ln,Wells St & Concord Ln,97
17766,DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,97
27045,Lakeview Ave & Fullerton Pkwy,Lakeview Ave & Fullerton Pkwy,97
46440,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Belmont Ave,96
46580,Streeter Dr & Grand Ave,St. Clair St & Erie St,96
18200,Dusable Harbor,Shedd Aquarium,96
44620,St. Clair St & Erie St,St. Clair St & Erie St,95
46266,Stockton Dr & Wrightwood Ave,Stockton Dr & Wrightwood Ave,95
3636,Broadway & Cornelia Ave,Broadway & Cornelia Ave,94
32304,Michigan Ave & Lake St,Streeter Dr & Grand Ave,93
33240,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,93
31847,Michigan Ave & 8th St,Streeter Dr & Grand Ave,91
7529,Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,90
37572,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,90
17404,DuSable Lake Shore Dr & Monroe St,Buckingham Fountain,89
17183,DuSable Lake Shore Dr & Belmont Ave,Streeter Dr & Grand Ave,88
35703,New St & Illinois St,Streeter Dr & Grand Ave,87
3189,Broadway & Barry Ave,Broadway & Barry Ave,87
31936,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr,87
47210,University Ave & 57th St,University Ave & 57th St,87
48475,Wabash Ave & Wacker Pl,Wabash Ave & Wacker Pl,87
49388,Wells St & Elm St,Wells St & Elm St,87
32576,Michigan Ave & Oak St,DuSable Lake Shore Dr & Monroe St,86
46773,Theater on the Lake,DuSable Lake Shore Dr & North Blvd,86
9173,Clark St & Elm St,Clark St & Elm St,85
16094,Dearborn St & Monroe St,Dearborn St & Monroe St,83
40992,Shedd Aquarium,Adler Planetarium,83
5744,Calumet Ave & 18th St,Calumet Ave & 18th St,82
26081,LaSalle St & Illinois St,LaSalle St & Illinois St,82
28022,Larrabee St & Webster Ave,Larrabee St & Webster Ave,81
46517,Streeter Dr & Grand Ave,Michigan Ave & Washington St,81
50595,Wentworth Ave & Cermak Rd,Wentworth Ave & Cermak Rd,81
13109,Cornell Ave & Hyde Park Blvd,Cornell Ave & Hyde Park Blvd,81
33592,Millennium Park,Indiana Ave & Roosevelt Rd,80
46403,Streeter Dr & Grand Ave,Clark St & Lincoln Ave,80
39710,Rush St & Cedar St,Rush St & Cedar St,80
3806,Broadway & Granville Ave,Broadway & Granville Ave,80
41283,Sheffield Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,80
24311,Indiana Ave & Roosevelt Rd,Streeter Dr & Grand Ave,80
17262,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & North Blvd,79
2773,Bissell St & Armitage Ave*,Bissell St & Armitage Ave*,79
31089,McClurg Ct & Erie St,McClurg Ct & Erie St,79
24793,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,79
32124,Michigan Ave & Jackson Blvd,Streeter Dr & Grand Ave,78
24269,Indiana Ave & Roosevelt Rd,Millennium Park,77
33480,Millennium Park,Adler Planetarium,77
33107,Michigan Ave & Washington St,Streeter Dr & Grand Ave,76
46770,Theater on the Lake,DuSable Lake Shore Dr & Belmont Ave,76
46356,Streeter Dr & Grand Ave,Adler Planetarium,76
26711,Lake Park Ave & 56th St,University Ave & 57th St,75
4755,Burnham Harbor,Burnham Harbor,75
47191,University Ave & 57th St,Lake Park Ave & 56th St,75
19763,Field Museum,Field Museum,75
46405,Streeter Dr & Grand Ave,Clark St & North Ave,75
19822,Field Museum,Streeter Dr & Grand Ave,74
32578,Michigan Ave & Oak St,DuSable Lake Shore Dr & Wellington Ave,74
33625,Millennium Park,Michigan Ave & Lake St,73
18119,Dusable Harbor,DuSable Lake Shore Dr & North Blvd,73
46512,Streeter Dr & Grand Ave,Michigan Ave & Jackson Blvd,73
17485,DuSable Lake Shore Dr & Monroe St,Indiana Ave & Roosevelt Rd,73
12932,Columbus Dr & Randolph St,Columbus Dr & Randolph St,73
35238,Museum of Science and Industry,Museum of Science and Industry,73
7708,Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,72
17371,DuSable Lake Shore Dr & Diversey Pkwy,Streeter Dr & Grand Ave,72
35035,Morgan St & Lake St*,Morgan St & Lake St*,72
24259,Indiana Ave & Roosevelt Rd,Michigan Ave & 8th St,72
41093,Shedd Aquarium,Michigan Ave & Jackson Blvd,71
39403,Ritchie Ct & Banks St,Ritchie Ct & Banks St,71
49391,Wells St & Elm St,Wells St & Huron St,71
45247,State St & Harrison St,State St & Harrison St,71
32574,Michigan Ave & Oak St,DuSable Lake Shore Dr & Belmont Ave,71
44629,St. Clair St & Erie St,Streeter Dr & Grand Ave,70
41655,Sheffield Ave & Waveland Ave,Sheffield Ave & Waveland Ave,70
8150,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,70
46441,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Diversey Pkwy,70
46500,Streeter Dr & Grand Ave,Lincoln Park Conservatory,70
41064,Shedd Aquarium,Indiana Ave & Roosevelt Rd,70
48958,Wells St & 19th St,Wells St & 19th St,70
10934,Clark St & Schiller St,Clark St & Schiller St,69
8514,Clark St & Armitage Ave,Streeter Dr & Grand Ave,69
33622,Millennium Park,Michigan Ave & 8th St,69
17579,DuSable Lake Shore Dr & Monroe St,Theater on the Lake,69
8034,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,69
17083,DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & North Blvd,69
42299,Sheffield Ave & Wrightwood Ave,Sheffield Ave & Wrightwood Ave,69
775,Adler Planetarium,Millennium Park,69
21885,Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,69
48107,Wabash Ave & Grand Ave,Streeter Dr & Grand Ave,69
18179,Dusable Harbor,Millennium Park,68
43068,Shore Dr & 55th St,Woodlawn Ave & 55th St,67
42893,Sheridan Rd & Montrose Ave,Sheridan Rd & Montrose Ave,67
32428,Michigan Ave & Madison St,Michigan Ave & Madison St,67
46433,Streeter Dr & Grand Ave,Dearborn St & Erie St,66
4514,Buckingham Fountain,Millennium Park,66
17925,DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & North Blvd,66
51692,Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,66
33624,Millennium Park,Michigan Ave & Jackson Blvd,66
48761,Walsh Park,Walsh Park,65
791,Adler Planetarium,Shedd Aquarium,65
10583,Clark St & North Ave,Clark St & North Ave,65
19460,Federal St & Polk St,Federal St & Polk St,64
25225,Kimbark Ave & 53rd St,Kimbark Ave & 53rd St,64
17133,DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,63
10378,Clark St & Newport St,Clark St & Newport St,63
43142,South Shore Dr & 67th St,South Shore Dr & 67th St,63
17185,DuSable Lake Shore Dr & Belmont Ave,Theater on the Lake,63
25217,Kimbark Ave & 53rd St,Ellis Ave & 60th St,62
32092,Michigan Ave & Jackson Blvd,Millennium Park,62
23062,Halsted St & Roscoe St,Halsted St & Roscoe St,62
17513,DuSable Lake Shore Dr & Monroe St,McClurg Ct & Ohio St,62
7828,Cityfront Plaza Dr & Pioneer Ct,Streeter Dr & Grand Ave,61
32863,Michigan Ave & Pearson St,Michigan Ave & Pearson St,61
46530,Streeter Dr & Grand Ave,New St & Illinois St,61
41987,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,60
46510,Streeter Dr & Grand Ave,Michigan Ave & 8th St,60
49077,Wells St & Concord Ln,Larrabee St & Webster Ave,60
46513,Streeter Dr & Grand Ave,Michigan Ave & Lake St,60
46444,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Wellington Ave,60
18694,Ellis Ave & 60th St,Ellis Ave & 60th St,60
41227,Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,60
46453,Streeter Dr & Grand Ave,Field Museum,59
42635,Sheridan Rd & Irving Park Rd,Sheridan Rd & Irving Park Rd,59
45719,State St & Randolph St,State St & Randolph St,59
30101,Lincoln Park Conservatory,Streeter Dr & Grand Ave,59
46396,Streeter Dr & Grand Ave,Clark St & Armitage Ave,59
31784,Michigan Ave & 8th St,Indiana Ave & Roosevelt Rd,58
31211,McClurg Ct & Ohio St,DuSable Lake Shore Dr & North Blvd,58
24205,Indiana Ave & Roosevelt Rd,DuSable Lake Shore Dr & Monroe St,58
11199,Clark St & Wellington Ave,Clark St & Wellington Ave,58
32546,Michigan Ave & Oak St,Clark St & Lincoln Ave,58
19801,Field Museum,Millennium Park,57
7292,Central Park Ave & Bloomingdale Ave,Central Park Ave & Bloomingdale Ave,57
13946,Damen Ave & Cortland St,Damen Ave & Cortland St,57
3374,Broadway & Belmont Ave,Broadway & Belmont Ave,57
47232,University Library (NU),University Library (NU),57
26166,LaSalle St & Illinois St,Streeter Dr & Grand Ave,57
18023,DuSable Lake Shore Dr & Wellington Ave,Streeter Dr & Grand Ave,57
16347,Delano Ct & Roosevelt Rd,Delano Ct & Roosevelt Rd,56
17406,DuSable Lake Shore Dr & Monroe St,Burnham Harbor,56
47203,University Ave & 57th St,Shore Dr & 55th St,56
32575,Michigan Ave & Oak St,DuSable Lake Shore Dr & Diversey Pkwy,56
48223,Wabash Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,56
4096,Broadway & Thorndale Ave,Broadway & Thorndale Ave,56
7083,Cannon Dr & Fullerton Ave,Theater on the Lake,56
49832,Wells St & Hubbard St,Wells St & Hubbard St,56
50032,Wells St & Huron St,Wells St & Elm St,56
7928,Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,55
40040,Rush St & Superior St,Rush St & Superior St,55
40581,Sedgwick St & North Ave,Sedgwick St & North Ave,55
27115,Lakeview Ave & Fullerton Pkwy,Streeter Dr & Grand Ave,55
1584,Ashland Ave & Division St,Ashland Ave & Division St,55
31392,McCormick Place,McCormick Place,55
32621,Michigan Ave & Oak St,Lakeview Ave & Fullerton Pkwy,55
41091,Shedd Aquarium,Michigan Ave & 8th St,55
46731,Theater on the Lake,Cannon Dr & Fullerton Ave,55
33280,Mies van der Rohe Way & Chestnut St,Streeter Dr & Grand Ave,55
20694,Franklin St & Jackson Blvd,Millennium Park,54
17469,DuSable Lake Shore Dr & Monroe St,Field Museum,54
19756,Field Museum,DuSable Lake Shore Dr & Monroe St,54
10759,Clark St & Randolph St,Clark St & Randolph St,54
4184,Broadway & Waveland Ave,Broadway & Waveland Ave,54
4745,Burnham Greenway & 112th St,Burnham Greenway & 112th St,54
718,Adler Planetarium,Dusable Harbor,53
50035,Wells St & Huron St,Wells St & Huron St,53
49614,Wells St & Evergreen Ave,Wells St & Evergreen Ave,53
17320,DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,53
46516,Streeter Dr & Grand Ave,Michigan Ave & Pearson St,52
856,Albany Ave & Bloomingdale Ave,Albany Ave & Bloomingdale Ave,52
10181,Clark St & Lincoln Ave,Streeter Dr & Grand Ave,52
44346,Spaulding Ave & Armitage Ave,Spaulding Ave & Armitage Ave,51
11496,Clark St & Wrightwood Ave,Clark St & Wrightwood Ave,51
46518,Streeter Dr & Grand Ave,Mies van der Rohe Way & Chestnut St,51
24294,Indiana Ave & Roosevelt Rd,Shedd Aquarium,51
19251,Fairbanks Ct & Grand Ave,Streeter Dr & Grand Ave,51
33060,Michigan Ave & Washington St,Millennium Park,51
17519,DuSable Lake Shore Dr & Monroe St,Michigan Ave & Jackson Blvd,51
26827,Lakefront Trail & Bryn Mawr Ave,Streeter Dr & Grand Ave,51
41096,Shedd Aquarium,Michigan Ave & Oak St,51
46866,Theater on the Lake,Sheffield Ave & Fullerton Ave,50
7082,Cannon Dr & Fullerton Ave,Streeter Dr & Grand Ave,50
29693,Lincoln Ave & Roscoe St*,Lincoln Ave & Roscoe St*,50
42317,Sheffield Ave & Wrightwood Ave,Theater on the Lake,50
34215,Milwaukee Ave & Wabansia Ave,Milwaukee Ave & Wabansia Ave,50
5848,Calumet Ave & 21st St,Calumet Ave & 21st St,50
8968,Clark St & Drummond Pl,Clark St & Armitage Ave,50
17694,DuSable Lake Shore Dr & North Blvd,Dusable Harbor,49
17693,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Wellington Ave,49
17689,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Belmont Ave,49
45414,State St & Kinzie St,Streeter Dr & Grand Ave,49
17517,DuSable Lake Shore Dr & Monroe St,Michigan Ave & 8th St,49
33679,Millennium Park,St. Clair St & Erie St,49
18061,Dusable Harbor,Adler Planetarium,49
49616,Wells St & Evergreen Ave,Wells St & Huron St,49
47805,Wabash Ave & Adams St,Wabash Ave & Adams St,48
18617,Ellis Ave & 55th St,Kimbark Ave & 53rd St,48
52772,Woodlawn Ave & 55th St,Shore Dr & 55th St,48
5588,California Ave & Montrose Ave,California Ave & Montrose Ave,48
50031,Wells St & Huron St,Wells St & Concord Ln,48
17372,DuSable Lake Shore Dr & Diversey Pkwy,Theater on the Lake,48
26570,Lake Park Ave & 47th St,Lake Park Ave & 47th St,48
49390,Wells St & Elm St,Wells St & Hubbard St,48
42790,Sheridan Rd & Loyola Ave,Sheridan Rd & Loyola Ave,47
46604,Streeter Dr & Grand Ave,Wabash Ave & Wacker Pl,47
43022,Shore Dr & 55th St,Ellis Ave & 60th St,47
43062,Shore Dr & 55th St,University Ave & 57th St,47
49086,Wells St & Concord Ln,Lincoln Ave & Fullerton Ave,46
31806,Michigan Ave & 8th St,Michigan Ave & Jackson Blvd,46
4778,Burnham Harbor,DuSable Lake Shore Dr & Monroe St,46
8972,Clark St & Drummond Pl,Clark St & Drummond Pl,46
28105,Larrabee St & Webster Ave,Wells St & Concord Ln,46
17973,DuSable Lake Shore Dr & Wellington Ave,Michigan Ave & Oak St,46
30518,MLK Jr Dr & 29th St,MLK Jr Dr & 29th St,46
4530,Buckingham Fountain,Shedd Aquarium,46
39160,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,46
45723,State St & Randolph St,Streeter Dr & Grand Ave,46
34469,Montrose Harbor,Theater on the Lake,46
3538,Broadway & Berwyn Ave,Broadway & Berwyn Ave,46
19697,Field Blvd & South Water St,Streeter Dr & Grand Ave,46
33511,Millennium Park,Cityfront Plaza Dr & Pioneer Ct,45
26628,Lake Park Ave & 53rd St,Lake Park Ave & 53rd St,45
6267,Canal St & Adams St,Canal St & Adams St,45
4997,California Ave & Byron St,California Ave & Byron St,45
15593,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,45
34467,Montrose Harbor,Streeter Dr & Grand Ave,45
20649,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,45
10121,Clark St & Lincoln Ave,Michigan Ave & Oak St,45
32694,Michigan Ave & Oak St,Shedd Aquarium,45
32904,Michigan Ave & Pearson St,Streeter Dr & Grand Ave,45
8453,Clark St & Armitage Ave,Michigan Ave & Oak St,45
43983,Southport Ave & Waveland Ave,Southport Ave & Waveland Ave,45
31658,Michigan Ave & 18th St,Michigan Ave & 18th St,45
31831,Michigan Ave & 8th St,Shedd Aquarium,44
26690,Lake Park Ave & 56th St,Lake Park Ave & 56th St,44
6009,Calumet Park,Calumet Park,44
10105,Clark St & Lincoln Ave,Larrabee St & Webster Ave,44
10346,Clark St & Newport St,Broadway & Barry Ave,44
33496,Millennium Park,Buckingham Fountain,44
46419,Streeter Dr & Grand Ave,Columbus Dr & Randolph St,44
27948,Larrabee St & Webster Ave,Clark St & Lincoln Ave,44
24320,Indiana Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,44
33696,Millennium Park,Wabash Ave & Grand Ave,44
41828,Sheffield Ave & Webster Ave,Sheffield Ave & Webster Ave,44
17690,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Diversey Pkwy,44
45106,State St & Chicago Ave,State St & Chicago Ave,43
29439,Lincoln Ave & Fullerton Ave,Lincoln Ave & Fullerton Ave,43
25215,Kimbark Ave & 53rd St,Ellis Ave & 55th St,43
17646,DuSable Lake Shore Dr & North Blvd,Clark St & Armitage Ave,43
18174,Dusable Harbor,Michigan Ave & Oak St,43
41309,Sheffield Ave & Fullerton Ave,Theater on the Lake,43
27123,Lakeview Ave & Fullerton Pkwy,Wells St & Concord Ln,43
17759,DuSable Lake Shore Dr & North Blvd,McClurg Ct & Ohio St,43
32054,Michigan Ave & Jackson Blvd,Indiana Ave & Roosevelt Rd,43
18699,Ellis Ave & 60th St,Kimbark Ave & 53rd St,43
19977,Fort Dearborn Dr & 31st St,DuSable Lake Shore Dr & Monroe St,43
770,Adler Planetarium,Michigan Ave & Oak St,43
38528,Racine Ave & Fullerton Ave,Racine Ave & Belmont Ave,43
49175,Wells St & Concord Ln,Wells St & Huron St,43
33087,Michigan Ave & Washington St,Shedd Aquarium,43
18024,DuSable Lake Shore Dr & Wellington Ave,Theater on the Lake,43
50171,Wells St & Polk St,Wells St & Polk St,43
30102,Lincoln Park Conservatory,Theater on the Lake,42
43801,Southport Ave & Roscoe St,Southport Ave & Roscoe St,42
33689,Millennium Park,Theater on the Lake,42
8363,Clark St & Armitage Ave,Clark St & Lincoln Ave,42
9727,Clark St & Lake St,Clark St & Lake St,42
46711,Theater on the Lake,Broadway & Barry Ave,42
51841,Wilton Ave & Diversey Pkwy,Wilton Ave & Diversey Pkwy,42
37407,Peoria St & Jackson Blvd,Peoria St & Jackson Blvd,42
26764,Lakefront Trail & Bryn Mawr Ave,DuSable Lake Shore Dr & Belmont Ave,42
25216,Kimbark Ave & 53rd St,Ellis Ave & 58th St,41
32106,Michigan Ave & Jackson Blvd,Shedd Aquarium,41
46850,Theater on the Lake,Pine Grove Ave & Irving Park Rd,41
50033,Wells St & Huron St,Wells St & Evergreen Ave,41
31807,Michigan Ave & 8th St,Michigan Ave & Lake St,41
13156,Cornell Ave & Hyde Park Blvd,University Ave & 57th St,41
46589,Streeter Dr & Grand Ave,State St & Van Buren St,41
36441,Orleans St & Chestnut St (NEXT Apts),Orleans St & Chestnut St (NEXT Apts),41
49387,Wells St & Elm St,Wells St & Concord Ln,41
38529,Racine Ave & Fullerton Ave,Racine Ave & Fullerton Ave,41
32659,Michigan Ave & Oak St,Millennium Park,41
10037,Clark St & Lincoln Ave,Clark St & Wrightwood Ave,41
46519,Streeter Dr & Grand Ave,Mies van der Rohe Way & Chicago Ave,41
18256,Eastlake Ter & Rogers Ave,Eastlake Ter & Rogers Ave,41
35594,New St & Illinois St,DuSable Lake Shore Dr & North Blvd,41
35598,New St & Illinois St,Fairbanks Ct & Grand Ave,40
24801,Kedzie Ave & Milwaukee Ave,Kosciuszko Park,40
17754,DuSable Lake Shore Dr & North Blvd,Lincoln Park Conservatory,40
767,Adler Planetarium,Michigan Ave & Jackson Blvd,40
4466,Buckingham Fountain,DuSable Lake Shore Dr & Monroe St,40
18219,Dusable Harbor,Theater on the Lake,40
739,Adler Planetarium,Indiana Ave & Roosevelt Rd,40
34425,Montrose Harbor,Michigan Ave & Oak St,40
17660,DuSable Lake Shore Dr & North Blvd,Clark St & Schiller St,40
39867,Rush St & Hubbard St,Rush St & Hubbard St,40
33629,Millennium Park,Michigan Ave & Washington St,40
31267,McClurg Ct & Ohio St,Michigan Ave & Oak St,40
43015,Shore Dr & 55th St,DuSable Lake Shore Dr & Monroe St,40
33685,Millennium Park,State St & Randolph St,40
31972,Michigan Ave & Ida B Wells Dr,Streeter Dr & Grand Ave,40
23459,Halsted St & Wrightwood Ave,Southport Ave & Wrightwood Ave,40
41087,Shedd Aquarium,McClurg Ct & Ohio St,40
3969,Broadway & Sheridan Rd,Broadway & Sheridan Rd,40
46771,Theater on the Lake,DuSable Lake Shore Dr & Diversey Pkwy,40
46772,Theater on the Lake,DuSable Lake Shore Dr & Monroe St,40
32291,Michigan Ave & Lake St,Shedd Aquarium,40
10384,Clark St & Newport St,Clark St & Wrightwood Ave,39
46458,Streeter Dr & Grand Ave,Franklin St & Jackson Blvd,39
52760,Woodlawn Ave & 55th St,Kimbark Ave & 53rd St,39
22593,Halsted St & Dickens Ave,Halsted St & Dickens Ave,39
49161,Wells St & Concord Ln,Streeter Dr & Grand Ave,39
10111,Clark St & Lincoln Ave,Lincoln Ave & Fullerton Ave,39
21201,Green St & Madison St,Green St & Madison St,39
48467,Wabash Ave & Wacker Pl,Streeter Dr & Grand Ave,39
18640,Ellis Ave & 55th St,Shore Dr & 55th St,39
25034,Keystone Ave & Montrose Ave,Keystone Ave & Montrose Ave,39
31210,McClurg Ct & Ohio St,DuSable Lake Shore Dr & Monroe St,39
19812,Field Museum,Shedd Aquarium,39
32662,Michigan Ave & Oak St,Montrose Harbor,39
49004,Wells St & Concord Ln,Clark St & Lincoln Ave,39
4335,Broadway & Wilson - Truman College Vaccination Site,Broadway & Wilson - Truman College Vaccination Site,39
33237,Mies van der Rohe Way & Chestnut St,Michigan Ave & Oak St,39
17840,DuSable Lake Shore Dr & North Blvd,Theater on the Lake,39
46267,Stockton Dr & Wrightwood Ave,Streeter Dr & Grand Ave,39
46511,Streeter Dr & Grand Ave,Michigan Ave & Ida B Wells Dr,39
24152,Indiana Ave & Roosevelt Rd,Adler Planetarium,38
30009,Lincoln Park Conservatory,DuSable Lake Shore Dr & Monroe St,38
46505,Streeter Dr & Grand Ave,McClurg Ct & Erie St,38
17655,DuSable Lake Shore Dr & North Blvd,Clark St & Lincoln Ave,38
9250,Clark St & Elm St,LaSalle St & Illinois St,38
12254,Clinton St & Madison St,Clinton St & Madison St,38
25780,LaSalle Dr & Huron St,LaSalle Dr & Huron St,38
52753,Woodlawn Ave & 55th St,Ellis Ave & 60th St,38
